direction,code,signal_month,signal_dt,entry_month,entry_price,tp_price,next_high,next_low,next_close,exit_price,exit_rule,ret_net_assumed,win,p_abs_big,p_side_big,p_side20,abs_gate,side_gate,target20_gate,model_version
up,5721,202507,1753920000,202508,123.0,147.6,290.0,112.0,193.0,147.6,tp20,0.1999999999999999,1,0.8115572323162897,0.6488842487641246,0.1669485692257819,0.15,0.3,0.14,20260214053343_m1
up,4889,202501,1738281600,202502,1125.0,1350.0,1758.0,1056.0,1236.0,1350.0,tp20,0.1999999999999999,1,0.7992999278323996,0.6182575726559026,0.1651109686592886,0.15,0.3,0.14,20260214053343_m1
up,5721,202505,1748563200,202506,78.0,93.6,422.0,75.0,315.0,93.6,tp20,0.1999999999999999,1,0.7270371223640044,0.5562362117144529,0.1613896870028016,0.15,0.3,0.14,20260214053343_m1
up,8783,202508,1756425600,202509,362.0,434.4,630.0,301.0,337.0,434.4,tp20,0.1999999999999999,1,0.7029172060527814,0.5370788999193289,0.1602402482950942,0.15,0.3,0.14,20260214053343_m1
up,7003,202512,1767052800,202601,5560.0,6672.0,7333.0,5599.0,6870.0,6672.0,tp20,0.1999999999999999,1,0.621787788354332,0.529673444324086,0.1597959209593796,0.15,0.3,0.14,20260214053343_m1
up,6525,202511,1764288000,202512,4296.0,5155.2,5705.0,4251.0,5495.0,5155.2,tp20,0.1999999999999999,1,0.6697601486758374,0.5227870321786205,0.1593827362306517,0.15,0.3,0.14,20260214053343_m1
up,6232,202403,1711670400,202404,1112.0,1334.4,1429.0,960.0,997.0,1334.4,tp20,0.1999999999999999,1,0.6450227560277818,0.5222490939742864,0.1593504599383916,0.15,0.3,0.14,20260214053343_m1
up,5706,202508,1756425600,202509,10525.0,12630.0,11915.0,9936.0,11505.0,11505.0,month_close,0.0931116389548694,1,0.6520929007348423,0.5210666212791977,0.1592795115766863,0.15,0.3,0.14,20260214053343_m1
up,7003,202509,1759190400,202510,4475.0,5370.0,6330.0,4085.0,6306.0,5370.0,tp20,0.1999999999999999,1,0.5789712351487927,0.510433830608722,0.1586415441364578,0.15,0.3,0.14,20260214053343_m1
up,1711,202504,1745971200,202505,205.0,246.0,239.0,203.0,232.0,232.0,month_close,0.1317073170731706,1,0.612152520332798,0.508507418522076,0.158525959411259,0.15,0.3,0.14,20260214053343_m1
up,5706,202509,1759190400,202510,11505.0,13806.0,16165.0,11165.0,15760.0,13806.0,tp20,0.1999999999999999,1,0.6297903990872048,0.4989177887059394,0.1579505816222908,0.15,0.3,0.14,20260214053343_m1
up,5803,202509,1759190400,202510,14455.0,17346.0,21350.0,13860.0,21170.0,17346.0,tp20,0.1999999999999999,1,0.538986200864448,0.4979629632773849,0.1578932920965776,0.15,0.3,0.14,20260214053343_m1
up,5803,202409,1727654400,202410,4818.0,5781.599999999999,5775.0,4753.0,5732.0,5732.0,month_close,0.1897052718970526,1,0.6533497913751306,0.496637178191815,0.1578137449914434,0.15,0.3,0.14,20260214053343_m1
up,6871,202509,1759190400,202510,5880.0,7056.0,9200.0,5660.0,9160.0,7056.0,tp20,0.1999999999999999,1,0.6288126268352118,0.4899648457935403,0.1574134050475469,0.15,0.3,0.14,20260214053343_m1
up,6857,202509,1759190400,202510,14650.0,17580.0,23675.0,14530.0,23135.0,17580.0,tp20,0.1999999999999999,1,0.5956610573105844,0.4871878581604264,0.15724678578956,0.15,0.3,0.14,20260214053343_m1
up,1711,202412,1735516800,202501,345.0,414.0,390.0,312.0,336.0,336.0,month_close,-0.026086956521739,0,0.5681668936132186,0.4863831847962683,0.1571985053877106,0.15,0.3,0.14,20260214053343_m1
up,5706,202512,1767052800,202601,17635.0,21162.0,22960.0,17995.0,20370.0,21162.0,tp20,0.1999999999999999,1,0.5313727905425276,0.486358469819369,0.1571970224890966,0.15,0.3,0.14,20260214053343_m1
up,5801,202509,1759190400,202510,9112.0,10934.4,11000.0,8634.0,11000.0,10934.4,tp20,0.1999999999999999,1,0.5500644654969655,0.4862529579724491,0.1571906917782814,0.15,0.3,0.14,20260214053343_m1
up,5246,202402,1709164800,202403,763.0,915.6,1143.0,664.0,959.0,915.6,tp20,0.1999999999999999,1,0.7258809598395128,0.4807372356061888,0.1568597484363058,0.15,0.3,0.14,20260214053343_m1
up,7794,202601,1769731200,202602,660.0,792.0,1691.0,582.0,1691.0,792.0,tp20,0.1999999999999999,1,0.754617657631908,0.4738287449511627,0.1564452389970042,0.15,0.3,0.14,20260214053343_m1
up,9509,202404,1714435200,202405,1122.0,1346.4,1750.0,1093.5,1649.5,1346.4,tp20,0.1999999999999999,1,0.5973161833106853,0.4734382896081116,0.1564218116764212,0.15,0.3,0.14,20260214053343_m1
up,3110,202512,1767052800,202601,10200.0,12240.0,17840.0,10090.0,14830.0,12240.0,tp20,0.1999999999999999,1,0.6084023862277285,0.4676267705912198,0.1560731205354076,0.15,0.3,0.14,20260214053343_m1
up,5802,202512,1767052800,202601,6325.0,7590.0,7188.0,6115.0,6724.0,6724.0,month_close,0.0630830039525691,1,0.516877871188062,0.4639884971650358,0.1558548241298366,0.15,0.3,0.14,20260214053343_m1
up,5801,202601,1769731200,202602,13530.0,16236.0,23285.0,13040.0,21495.0,16236.0,tp20,0.1999999999999999,1,0.559858199757176,0.4635193143041921,0.155826673158186,0.15,0.3,0.14,20260214053343_m1
up,8783,202412,1735516800,202501,440.0,528.0,754.0,449.0,587.0,528.0,tp20,0.1999999999999999,1,0.7736039476593749,0.4588716242829787,0.1555478117569132,0.15,0.3,0.14,20260214053343_m1
down,3905,202507,1753920000,202508,3440.0,2752.0,3385.0,2217.0,2233.0,2752.0,tp20,0.2,1,0.7813990973535158,0.7012965296441053,0.107513632270204,0.32,0.3,0.08,20260214053343_m1
down,4316,202508,1756425600,202509,1522.0,1217.6,1640.0,1014.0,1051.0,1217.6,tp20,0.1999999999999999,1,0.8095075454810041,0.6858190177109623,0.1065849815542154,0.32,0.3,0.08,20260214053343_m1
down,4889,202502,1740700800,202503,1236.0,988.8,1403.0,917.0,1048.0,988.8,tp20,0.1999999999999999,1,0.7287550117693349,0.6743592361094568,0.105897394658125,0.32,0.3,0.08,20260214053343_m1
down,4592,202406,1719532800,202407,1318.0,1054.4,1368.0,866.0,1116.0,1054.4,tp20,0.1999999999999999,1,0.8040817724569163,0.6739178862611722,0.105870913667228,0.32,0.3,0.08,20260214053343_m1
down,4062,202510,1761868800,202511,7307.5,5846.0,7722.5,5250.0,5940.0,5846.0,tp20,0.2,1,0.7291563905471478,0.6734526114884412,0.1058429971808641,0.32,0.3,0.08,20260214053343_m1
down,7776,202408,1724976000,202409,879.0,703.2,962.0,672.0,690.0,703.2,tp20,0.1999999999999999,1,0.7834199746672886,0.6725554879005212,0.1057891697655889,0.32,0.3,0.08,20260214053343_m1
down,9235,202506,1751241600,202507,1645.0,1316.0,1917.0,1320.0,1410.0,1410.0,month_close,0.1428571428571428,1,0.7735964642132037,0.6520865539038365,0.1045610337257878,0.32,0.3,0.08,20260214053343_m1
down,9235,202402,1709164800,202403,1955.0,1564.0,2270.0,955.0,959.5,1564.0,tp20,0.2,1,0.7723021575597743,0.6506865440585149,0.1044770331350685,0.32,0.3,0.08,20260214053343_m1
down,6330,202601,1769731200,202602,5600.0,4480.0,6900.0,4150.0,4150.0,4480.0,tp20,0.2,1,0.7768592860193426,0.6476328330111466,0.1042938104722264,0.32,0.3,0.08,20260214053343_m1
down,3905,202404,1714435200,202405,2222.0,1777.6,2871.0,1360.0,1578.0,1777.6,tp20,0.1999999999999999,1,0.7512458788792133,0.6397834392936386,0.103822846849176,0.32,0.3,0.08,20260214053343_m1
down,4889,202507,1753920000,202508,3070.0,2456.0,3170.0,2008.0,2155.0,2456.0,tp20,0.2,1,0.7435031069516564,0.6395715399072691,0.1038101328859938,0.32,0.3,0.08,20260214053343_m1
down,5721,202503,1743379200,202504,116.0,92.8,117.0,67.0,70.0,92.8,tp20,0.1999999999999999,1,0.7358212160459789,0.6337679461331377,0.1034619172595459,0.32,0.3,0.08,20260214053343_m1
down,6324,202502,1740700800,202503,4620.0,3696.0,4770.0,3130.0,3160.0,3696.0,tp20,0.2,1,0.6809113977105867,0.6336758113686535,0.1034563891736768,0.32,0.3,0.08,20260214053343_m1
down,4592,202505,1748563200,202506,3015.0,2412.0,3805.0,1995.0,2409.0,2412.0,tp20,0.2,1,0.7468625187722947,0.6302930717692807,0.1032534247977145,0.32,0.3,0.08,20260214053343_m1
down,5597,202503,1743379200,202504,1158.0,926.4,1198.0,762.0,863.0,926.4,tp20,0.1999999999999999,1,0.6796986557249654,0.6259103510239787,0.1029904615529964,0.32,0.3,0.08,20260214053343_m1
down,3778,202404,1714435200,202405,5910.0,4728.0,6410.0,4840.0,5220.0,5220.0,month_close,0.116751269035533,1,0.7042789290968906,0.6129733996681059,0.102214244471644,0.32,0.3,0.08,20260214053343_m1
down,8035,202407,1722384000,202408,31020.0,24816.0,31760.0,22055.0,25805.0,24816.0,tp20,0.2,1,0.6403338652078765,0.6073665817920745,0.1018778353990821,0.32,0.3,0.08,20260214053343_m1
down,3905,202511,1764288000,202512,2377.0,1901.6,2496.0,1780.0,1995.0,1901.6,tp20,0.1999999999999999,1,0.7751763018202014,0.6067770079499358,0.1018424609685538,0.32,0.3,0.08,20260214053343_m1
down,6146,202407,1722384000,202408,49460.0,39568.0,50200.0,37520.0,42660.0,39568.0,tp20,0.2,1,0.6658173964158235,0.6056755141638402,0.1017763713413881,0.32,0.3,0.08,20260214053343_m1
down,1514,202402,1709164800,202403,2783.0,2226.4,5570.0,1364.0,1379.0,2226.4,tp20,0.1999999999999999,1,0.6683319878770787,0.6049281099510382,0.1017315270886199,0.32,0.3,0.08,20260214053343_m1
down,6857,202510,1761868800,202511,23135.0,18508.0,22950.0,18270.0,20575.0,18508.0,tp20,0.2,1,0.6390277873147976,0.6033035128279621,0.1016340512612354,0.32,0.3,0.08,20260214053343_m1
down,5246,202505,1748563200,202506,1133.0,906.4,1471.0,991.0,1028.0,1028.0,month_close,0.0926743159752868,1,0.6999475490471331,0.602828872140326,0.1016055728199772,0.32,0.3,0.08,20260214053343_m1
down,9235,202403,1711670400,202404,959.5,767.6,967.0,693.0,745.5,767.6,tp20,0.1999999999999999,1,0.6985527598672268,0.6010871313124843,0.1015010683703067,0.32,0.3,0.08,20260214053343_m1
down,4592,202407,1722384000,202408,1116.0,892.8000000000001,1220.0,805.0,1046.0,892.8000000000001,tp20,0.1999999999999999,1,0.6544649580165687,0.6010307950067204,0.1014976881919609,0.32,0.3,0.08,20260214053343_m1
down,5721,202506,1751241600,202507,315.0,252.0,311.0,110.0,123.0,252.0,tp20,0.2,1,0.7068706347738314,0.5910574848747203,0.1008992895840409,0.32,0.3,0.08,20260214053343_m1
