signal,slope_combo,n,win_rate_6m,avg_ret_6m,med_ret_6m,ci95_low,ci95_high,ma60_break_rate_6m
between_ma20_ma60,down_down,5036,0.5003971405877681,0.0498685062108467,0.0009381267562375309,0.0406123466287552,0.0591246657929382,0.3339952343129468
between_ma20_ma60,down_flat,1240,0.4588709677419355,0.014567887378337285,-0.014698834256421569,0.0026844624218010735,0.026451312334873495,0.3233870967741935
between_ma20_ma60,down_na,279,0.32974910394265233,0.021576677003842592,-0.13073394495412843,-0.10293171336036722,0.1460850673680524,0.25089605734767023
between_ma20_ma60,down_up,1069,0.46024321796071094,0.02369303222249512,-0.013617452889094137,0.008482664207483209,0.03890340023750703,0.43872778297474274
between_ma20_ma60,flat_down,1425,0.5291228070175439,0.04823427277805442,0.009221311475409836,0.034117237679718596,0.06235130787639025,0.44842105263157894
between_ma20_ma60,flat_flat,333,0.5465465465465466,0.04779112641587837,0.01564537157757497,0.02095240829598244,0.0746298445357743,0.5045045045045045
between_ma20_ma60,flat_na,54,0.25925925925925924,-0.08296044564859081,-0.08478202277474564,-0.1604729819278201,-0.0054479093693615005,0.2962962962962963
between_ma20_ma60,flat_up,191,0.4607329842931937,0.04457856995341738,-0.020440251572327043,-0.01653467325892402,0.10569181316575878,0.4397905759162304
between_ma20_ma60,up_down,5668,0.5453422724064926,0.06421195845419735,0.02087615356980901,0.05653580111433062,0.07188811579406407,0.4768877911079746
between_ma20_ma60,up_flat,1010,0.5534653465346535,0.04911143334814329,0.023460315809801097,0.03677713323693263,0.061445733459353946,0.5148514851485149
between_ma20_ma60,up_na,171,0.30994152046783624,-0.07000647777733396,-0.12411575562700965,-0.10851516538311126,-0.031497790171556656,0.30994152046783624
between_ma20_ma60,up_up,745,0.5033557046979866,0.04303914338265892,0.001488095238095238,0.025537011291936577,0.06054127547338126,0.5006711409395973
box_bottom,down_down,33,0.5454545454545454,0.007593669099331208,0.019672131147540985,-0.04117858476359972,0.05636592296226214,0.36363636363636365
box_bottom,down_flat,30,0.5333333333333333,-0.004174632015348336,0.010804473304473304,-0.04893776081554646,0.040588496784849784,0.3333333333333333
box_bottom,down_up,19,0.6842105263157895,0.04309139311587029,0.03081232492997199,-0.018760959687874716,0.1049437459196153,0.42105263157894735
box_bottom,flat_down,53,0.7924528301886793,0.07851424303862602,0.06109568290835648,0.04074271341599516,0.11628577266125686,0.5849056603773585
box_bottom,flat_flat,32,0.5,0.01650319356585353,0.000543773790103317,-0.018321832798401973,0.05132821993010903,0.3125
box_bottom,flat_up,6,0.3333333333333333,-0.034851657989667405,-0.04701832498505555,-0.08143841023099332,0.011735094251658508,0.0
box_bottom,up_down,107,0.6728971962616822,0.04768354629480703,0.0258130649520082,0.023602518296423163,0.0717645742931909,0.5420560747663551
box_bottom,up_flat,52,0.5192307692307693,0.032990227485055416,0.004233308298090769,-0.007628405744649978,0.0736088607147608,0.40384615384615385
box_bottom,up_up,31,0.6129032258064516,0.0705841127754326,0.018060200668896322,0.021226307328754912,0.11994191822211028,0.5161290322580645
between_and_box_bottom,down_down,12,0.5833333333333334,-0.01891940578770881,0.013844523707258877,-0.10542309727437953,0.0675842856989619,0.3333333333333333
between_and_box_bottom,down_flat,8,0.875,0.08565622905703965,0.07483747547946759,0.00943203028491145,0.16188042782916784,0.75
between_and_box_bottom,down_up,11,0.5454545454545454,-0.012841791396255091,0.0015384615384615385,-0.09529608099314056,0.06961249820063038,0.36363636363636365
between_and_box_bottom,flat_down,15,0.7333333333333333,0.03875935988356349,0.06052344601962922,-0.03188428301784421,0.1094030027849712,0.6666666666666666
between_and_box_bottom,flat_flat,16,0.5,0.005151376718843826,-0.00010763043108820078,-0.031796283597919965,0.04209903703560761,0.3125
between_and_box_bottom,flat_up,1,1.0,0.02900763358778626,0.02900763358778626,,,0.0
between_and_box_bottom,up_down,57,0.6666666666666666,0.05795104040572934,0.032846715328467155,0.019719731700246296,0.09618234911121239,0.6140350877192983
between_and_box_bottom,up_flat,23,0.6086956521739131,0.05690716481130107,0.040675844806007506,-0.00857843394738083,0.12239276356998297,0.5217391304347826
between_and_box_bottom,up_up,17,0.5882352941176471,0.07460330331221648,0.013201320132013201,-0.006398714434028216,0.1556053210584612,0.5882352941176471
between_not_box_bottom,down_down,5024,0.5001990445859873,0.05003280854842287,0.0008751485273862383,0.040757114659306794,0.05930850243753894,0.3339968152866242
between_not_box_bottom,down_flat,1232,0.45616883116883117,0.014106274770034025,-0.01561807218231799,0.0021589380919286062,0.026053611448139443,0.32061688311688313
between_not_box_bottom,down_na,279,0.32974910394265233,0.021576677003842592,-0.13073394495412843,-0.10293171336036722,0.1460850673680524,0.25089605734767023
between_not_box_bottom,down_up,1058,0.45935727788279773,0.024072883885828063,-0.01469468652537236,0.008727731895152292,0.03941803587650383,0.43950850661625707
between_not_box_bottom,flat_down,1410,0.5269503546099291,0.048335069723740486,0.008636368199024642,0.034086391362633604,0.06258374808484737,0.4460992907801418
between_not_box_bottom,flat_flat,317,0.5488958990536278,0.04994329043844163,0.018633540372670808,0.021826686027293755,0.0780598948495895,0.5141955835962145
between_not_box_bottom,flat_na,54,0.25925925925925924,-0.08296044564859081,-0.08478202277474564,-0.1604729819278201,-0.0054479093693615005,0.2962962962962963
between_not_box_bottom,flat_up,190,0.45789473684210524,0.04466052225007859,-0.020842280566133173,-0.016775008322210322,0.1060960528223675,0.4421052631578947
between_not_box_bottom,up_down,5611,0.5441097843521654,0.06427556072273463,0.020666666666666667,0.056530998250044574,0.0720201231954247,0.475494564248797
between_not_box_bottom,up_flat,987,0.5521783181357649,0.04892976989966037,0.023312883435582823,0.03639676226332464,0.061462777535996105,0.5146909827760892
between_not_box_bottom,up_na,171,0.30994152046783624,-0.07000647777733396,-0.12411575562700965,-0.10851516538311126,-0.031497790171556656,0.30994152046783624
between_not_box_bottom,up_up,728,0.5013736263736264,0.042302068219468705,0.0010715210225305943,0.02448886409292151,0.0601152723460159,0.49862637362637363
