timeframe,segment,n_1,win_rate_1,avg_short_ret_1,med_short_ret_1,drop5_close_rate_1,drop10_intram_rate_1,stop10_hit_rate_1,n_3,win_rate_3,avg_short_ret_3,med_short_ret_3
monthly,baseline_all,193957,0.48058590306098775,-0.00793409310984313,-0.002377179080824089,0.24512649711018422,0.24814778533386267,0.26513093108266267,192571,0.47157671715886607,-0.026053198273713725,-0.008547008547008548
monthly,bull_streak_ge_3,25950,0.45552986512524085,-0.015028066314526937,-0.00744886083945334,0.2223892100192678,0.22832369942196531,0.282504816955684,25636,0.4541660165392417,-0.036116299120383936,-0.015219035461843989
monthly,bull_streak_ge_4,13749,0.4635973525347298,-0.013311904104858507,-0.006329113924050633,0.23114408320605134,0.24350861880864064,0.28271146992508545,13578,0.45426425099425544,-0.035833821930463604,-0.015059572116406413
monthly,bull_streak_ge_5,7191,0.458906967042136,-0.014549823932044712,-0.007692307692307693,0.2323738005840634,0.2537894590460298,0.2913363927131136,7061,0.44752867865741397,-0.038894837230122166,-0.017927170868347338
monthly,bull_streak_ge_6,3792,0.45595991561181437,-0.015682783345720645,-0.008342032011134308,0.23154008438818566,0.26476793248945146,0.30537974683544306,3672,0.4515250544662309,-0.036491887773244074,-0.01688523988097404
monthly,bull_streak_ge_7,1987,0.4695520885757423,-0.014177080452700342,-0.006622516556291391,0.2420734776044288,0.2898842476094615,0.3069954705586311,1892,0.452431289640592,-0.03618762574079857,-0.015329383465901772
monthly,bull_streak_ge_8,998,0.4649298597194389,-0.014863338640018741,-0.007590827507273815,0.23547094188376755,0.2985971943887776,0.3166332665330661,928,0.4525862068965517,-0.03913669090782525,-0.01661580778703252
monthly,bull_streak_ge_9,498,0.463855421686747,-0.017925100869002123,-0.008107235969709263,0.24096385542168675,0.3112449799196787,0.3353413654618474,462,0.46320346320346323,-0.03851384926643517,-0.012809558561102026
monthly,bull_streak_ge_10,239,0.5146443514644351,-0.007715936737183397,0.003861003861003861,0.3054393305439331,0.35564853556485354,0.30962343096234307,230,0.46956521739130436,-0.041668891139521755,-0.014301317745380316
monthly,hanging_man_all,2127,0.46685472496473907,-0.009606174683346297,-0.005217444378397069,0.2153267512929008,0.21297602256699577,0.2449459332393042,2118,0.48394711992445705,-0.024391020592046044,-0.004502811949796804
monthly,hanging_pre_bull_ge_3,1099,0.4786169244767971,-0.007493394387826543,-0.0033738191632928477,0.2256596906278435,0.22474977252047315,0.23202911737943585,1093,0.494967978042086,-0.02381788209069703,-0.0004870920603994155
monthly,hanging_pre_bull_ge_5,344,0.45930232558139533,-0.011004544207270397,-0.007079906929304519,0.2180232558139535,0.22674418604651161,0.24709302325581395,340,0.49117647058823527,-0.014838636596215643,-0.0025902324216755673
monthly,hanging_pre_bull_ge_7,99,0.5555555555555556,0.003909046235259232,0.022024552366856503,0.23232323232323232,0.25252525252525254,0.21212121212121213,96,0.4791666666666667,-0.005325724795936067,-0.007428177882723337
weekly,baseline_all,842439,0.49399184985500433,-0.0008827464044977321,0.0,0.10651691101670269,0.044758136790913054,0.05697623210701309,841053,0.48372813603898923,-0.005080632987759039,-0.0011919184666357673
weekly,bull_streak_ge_3,90418,0.5070561171448162,-0.00036784696384013847,0.0011904761904761906,0.10172753212855848,0.039826140812670045,0.05412639076290119,90250,0.4950027700831025,-0.004147851516836653,0.0
weekly,bull_streak_ge_4,42736,0.5124485211531262,-0.00012882565321460873,0.00167028790217196,0.10356608011980532,0.040481093223511795,0.055573755147884686,42605,0.4984391503344678,-0.0038759796388825596,0.0
weekly,bull_streak_ge_5,19977,0.5187465585423237,0.0005651692255831431,0.0021141649048625794,0.10697301897181759,0.04380037042598989,0.055613956049456875,19904,0.4959807073954984,-0.004236959387515368,0.0
weekly,bull_streak_ge_6,9214,0.5100933362274799,0.00026045638709497874,0.0014833675177405286,0.10874755806381593,0.050575211634469285,0.05556761449967441,9188,0.49151066608619937,-0.0056922997451869265,0.0
weekly,bull_streak_ge_7,4342,0.5103638876093965,0.0005811588362195381,0.0014885128608102,0.11008751727314602,0.05158912943344081,0.0520497466605251,4337,0.49066174775190224,-0.006393272360815181,-0.0005681818181818182
weekly,bull_streak_ge_8,2044,0.49755381604696675,-0.0012507051000204725,0.0,0.10567514677103718,0.04794520547945205,0.05332681017612524,2044,0.4877690802348337,-0.0067126753521757595,-0.0010657867639243196
weekly,bull_streak_ge_9,1001,0.5094905094905094,-0.00041990012993611776,0.0013831258644536654,0.0989010989010989,0.04595404595404595,0.055944055944055944,1001,0.4985014985014985,-0.005941687918447151,0.0
weekly,bull_streak_ge_10,478,0.5083682008368201,-0.001407080436166623,0.0010702584561430003,0.09623430962343096,0.04184100418410042,0.0502092050209205,478,0.4769874476987448,-0.006721604383610496,-0.00245645948119696
weekly,hanging_man_all,7692,0.4876495059802392,-0.0019403143271187536,0.0,0.09282371294851795,0.03536141445657826,0.051742069682787314,7682,0.48997656860192657,-0.004715984651858348,0.0
weekly,hanging_pre_bull_ge_3,2742,0.5051057622173596,-0.0015280675936511724,0.0008388926420086697,0.09737417943107221,0.03574033552151714,0.05142231947483589,2738,0.502191380569759,-0.0038040702675897937,0.0010893909626719057
weekly,hanging_pre_bull_ge_5,628,0.49522292993630573,-0.0015773293139170058,0.0,0.09713375796178345,0.041401273885350316,0.04777070063694268,627,0.4625199362041467,-0.009571055072405164,-0.0033783783783783786
weekly,hanging_pre_bull_ge_7,156,0.46794871794871795,-0.000968063283302679,-0.0024530205155678343,0.08333333333333333,0.04487179487179487,0.03205128205128205,156,0.4807692307692308,-0.0010425148485216067,0.0
daily,baseline_all,3960157,0.48415883511689056,0.00019144203145973087,0.0,0.012015685236721675,0.002384501422544611,0.004191247973249546,3958771,0.4873613553297223,-0.0007472921465139107,0.0
daily,bull_streak_ge_3,364496,0.496030134761424,0.0003790793359989658,0.0,0.0121976647206005,0.002296321495983495,0.004027479039550502,364318,0.4973457254376671,0.00016481450720556522,0.0
daily,bull_streak_ge_4,166686,0.4928608281439353,0.00033996088401699285,0.0,0.012628535089929569,0.0026936875322462594,0.003971539301441033,166583,0.4951945876830169,-1.099308158232669e-05,0.0
daily,bull_streak_ge_5,77270,0.4866054096026919,8.084496560780132e-05,0.0,0.011828652775980329,0.0026142099132910575,0.004180147534618869,77207,0.49513645135803747,-0.00013088294596982209,0.0
daily,bull_streak_ge_6,36426,0.4851205183110965,-5.735287441129904e-05,0.0,0.010871355625102948,0.00255312139680448,0.004282655246252677,36372,0.4930715935334873,-0.00019908411039000224,0.0
daily,bull_streak_ge_7,17326,0.4847050675285698,3.086485694722494e-05,0.0,0.011485628535149487,0.003058986494286044,0.004097887567817153,17305,0.4914186651256862,-3.556679326508073e-05,0.0
daily,bull_streak_ge_8,8285,0.4807483403741702,-0.00020102908701236644,0.0,0.011587205793602897,0.0031382015691007845,0.004586602293301147,8284,0.49142926122646063,-2.9525341805423615e-05,0.0
daily,bull_streak_ge_9,4010,0.47381546134663344,-8.854117655292527e-05,0.0,0.012967581047381545,0.00399002493765586,0.00399002493765586,4009,0.49713145422798705,0.000438397350407805,0.0
daily,bull_streak_ge_10,1963,0.46816097809475293,-0.00021020345525471894,0.0,0.01273560876209883,0.005094243504839531,0.005094243504839531,1963,0.4936321956189506,0.0007520023754940777,0.0
daily,hanging_man_all,45363,0.4875559376584441,0.0004287718911052894,0.0,0.01038291118312281,0.0017194629984789366,0.003637325573705443,45349,0.5088315067586937,0.000850823620673083,0.0012622207277784329
daily,hanging_pre_bull_ge_3,11438,0.4835635600629481,0.00010378907842251005,0.0,0.011278195488721804,0.0018359853121175031,0.003934254240251792,11436,0.5088317593564183,0.0008574289044839629,0.0012496105946366292
daily,hanging_pre_bull_ge_5,2394,0.4653299916457811,-0.0010467176588725856,0.0,0.010442773600668337,0.0029239766081871343,0.007101086048454469,2392,0.49665551839464883,-0.0012495262395888795,0.0
daily,hanging_pre_bull_ge_7,498,0.42369477911646586,-0.001865347748079539,-0.0010204774303571341,0.014056224899598393,0.002008032128514056,0.006024096385542169,498,0.4678714859437751,-0.003893331773592948,-0.0010725431929159137
